Unnamed: 0,subject_id,patch_id_min,patch_id_max,age,patch_path
1240,124,266358,268514,-3.3811522477246894,./data_starmen/images_patch/Starman__subject_s124__tp_0_patches.npy
1241,124,266358,268514,-2.389231152623121,./data_starmen/images_patch/Starman__subject_s124__tp_1_patches.npy
1242,124,266358,268514,-1.3973100575215525,./data_starmen/images_patch/Starman__subject_s124__tp_2_patches.npy
1243,124,266358,268514,-0.405388962419984,./data_starmen/images_patch/Starman__subject_s124__tp_3_patches.npy
1244,124,266358,268514,0.5865321326815844,./data_starmen/images_patch/Starman__subject_s124__tp_4_patches.npy
1245,124,266358,268514,1.5784532277831531,./data_starmen/images_patch/Starman__subject_s124__tp_5_patches.npy
1246,124,266358,268514,2.5703743228847213,./data_starmen/images_patch/Starman__subject_s124__tp_6_patches.npy
1247,124,266358,268514,3.5622954179862893,./data_starmen/images_patch/Starman__subject_s124__tp_7_patches.npy
1248,124,266358,268514,4.554216513087859,./data_starmen/images_patch/Starman__subject_s124__tp_8_patches.npy
1249,124,266358,268514,5.546137608189428,./data_starmen/images_patch/Starman__subject_s124__tp_9_patches.npy
1250,125,268515,270642,-8.064362355216197,./data_starmen/images_patch/Starman__subject_s125__tp_0_patches.npy
1251,125,268515,270642,-6.855179528205221,./data_starmen/images_patch/Starman__subject_s125__tp_1_patches.npy
1252,125,268515,270642,-5.645996701194244,./data_starmen/images_patch/Starman__subject_s125__tp_2_patches.npy
1253,125,268515,270642,-4.436813874183268,./data_starmen/images_patch/Starman__subject_s125__tp_3_patches.npy
1254,125,268515,270642,-3.2276310471722915,./data_starmen/images_patch/Starman__subject_s125__tp_4_patches.npy
1255,125,268515,270642,-2.018448220161315,./data_starmen/images_patch/Starman__subject_s125__tp_5_patches.npy
1256,125,268515,270642,-0.8092653931503389,./data_starmen/images_patch/Starman__subject_s125__tp_6_patches.npy
1257,125,268515,270642,0.3999174338606366,./data_starmen/images_patch/Starman__subject_s125__tp_7_patches.npy
1258,125,268515,270642,1.6091002608716138,./data_starmen/images_patch/Starman__subject_s125__tp_8_patches.npy
1259,125,268515,270642,2.818283087882591,./data_starmen/images_patch/Starman__subject_s125__tp_9_patches.npy
1260,126,270643,272676,-1.5534415666822845,./data_starmen/images_patch/Starman__subject_s126__tp_0_patches.npy
1261,126,270643,272676,-0.3823582499725988,./data_starmen/images_patch/Starman__subject_s126__tp_1_patches.npy
1262,126,270643,272676,0.7887250667370869,./data_starmen/images_patch/Starman__subject_s126__tp_2_patches.npy
1263,126,270643,272676,1.9598083834467728,./data_starmen/images_patch/Starman__subject_s126__tp_3_patches.npy
1264,126,270643,272676,3.1308917001564582,./data_starmen/images_patch/Starman__subject_s126__tp_4_patches.npy
1265,126,270643,272676,4.301975016866144,./data_starmen/images_patch/Starman__subject_s126__tp_5_patches.npy
1266,126,270643,272676,5.47305833357583,./data_starmen/images_patch/Starman__subject_s126__tp_6_patches.npy
1267,126,270643,272676,6.644141650285516,./data_starmen/images_patch/Starman__subject_s126__tp_7_patches.npy
1268,126,270643,272676,7.815224966995201,./data_starmen/images_patch/Starman__subject_s126__tp_8_patches.npy
1269,126,270643,272676,8.986308283704886,./data_starmen/images_patch/Starman__subject_s126__tp_9_patches.npy
1270,127,272677,274868,-5.806554052523505,./data_starmen/images_patch/Starman__subject_s127__tp_0_patches.npy
1271,127,272677,274868,-4.545390212753956,./data_starmen/images_patch/Starman__subject_s127__tp_1_patches.npy
1272,127,272677,274868,-3.2842263729844072,./data_starmen/images_patch/Starman__subject_s127__tp_2_patches.npy
1273,127,272677,274868,-2.0230625332148584,./data_starmen/images_patch/Starman__subject_s127__tp_3_patches.npy
1274,127,272677,274868,-0.7618986934453096,./data_starmen/images_patch/Starman__subject_s127__tp_4_patches.npy
1275,127,272677,274868,0.4992651463242392,./data_starmen/images_patch/Starman__subject_s127__tp_5_patches.npy
1276,127,272677,274868,1.760428986093788,./data_starmen/images_patch/Starman__subject_s127__tp_6_patches.npy
1277,127,272677,274868,3.0215928258633378,./data_starmen/images_patch/Starman__subject_s127__tp_7_patches.npy
1278,127,272677,274868,4.282756665632886,./data_starmen/images_patch/Starman__subject_s127__tp_8_patches.npy
1279,127,272677,274868,5.543920505402434,./data_starmen/images_patch/Starman__subject_s127__tp_9_patches.npy
1280,128,274869,276845,-5.730271391335823,./data_starmen/images_patch/Starman__subject_s128__tp_0_patches.npy
1281,128,274869,276845,-4.818900408615301,./data_starmen/images_patch/Starman__subject_s128__tp_1_patches.npy
1282,128,274869,276845,-3.9075294258947793,./data_starmen/images_patch/Starman__subject_s128__tp_2_patches.npy
1283,128,274869,276845,-2.9961584431742576,./data_starmen/images_patch/Starman__subject_s128__tp_3_patches.npy
1284,128,274869,276845,-2.084787460453736,./data_starmen/images_patch/Starman__subject_s128__tp_4_patches.npy
1285,128,274869,276845,-1.1734164777332143,./data_starmen/images_patch/Starman__subject_s128__tp_5_patches.npy
1286,128,274869,276845,-0.2620454950126927,./data_starmen/images_patch/Starman__subject_s128__tp_6_patches.npy
1287,128,274869,276845,0.6493254877078289,./data_starmen/images_patch/Starman__subject_s128__tp_7_patches.npy
1288,128,274869,276845,1.5606964704283506,./data_starmen/images_patch/Starman__subject_s128__tp_8_patches.npy
1289,128,274869,276845,2.472067453148872,./data_starmen/images_patch/Starman__subject_s128__tp_9_patches.npy
1290,129,276846,278980,-5.590581636323927,./data_starmen/images_patch/Starman__subject_s129__tp_0_patches.npy
